 Brand,Model,Ex-Showroom_Price(Rs.),Cylinders,Emission_Norm(BS),Fuel Capacity,Fuel_Type,Body_Type,ARAI Certified Mileage,Seating_Capacity,Type,Wheelbase,Boot_Space
Maruti Suzuki,Alto K10,438559,3,4,35,Petrol,Hatchback,24.07,5,Automatic,2360,177
Maruti Suzuki,Celerio Tour,480670,3,4,60,CNG,Hatchback,31.76,5,Manual,2425,235
Maruti Suzuki,Celerio X,552350,3,4,35,Petrol,Hatchback,23.1,5,Automatic,2425,235
Maruti Suzuki,Ignis,713898,4,4,32,Petrol,Hatchback,20.89,5,AMT,2435,260
Maruti Suzuki,Dzire Tour,653523,4,4,42,Diesel,Sedan,28.4,5,Manual,2430,320
Maruti Suzuki,Dzire,952622,4,4,37,Diesel,Sedan,28.4,5,Automatic,2450,378
Maruti Suzuki,Vitara Brezza,1059742,4,4,48,Diesel,SUV,24.3,5,Automatic,2500,328
Maruti Suzuki,Xl6,1151189,4,6,45,Petrol,MPV,17.01,6,Automatic,2740,209
Maruti Suzuki,Alto,389600,3,6,35,Petrol,Hatchback,22.05,5,Manual,2360,420
Maruti Suzuki,S-Presso,499000,3,6,27,Petrol,Hatchback,21.7,5,AMT,2380,420
Maruti Suzuki,Celerio,543279,3,6,35,Petrol,Hatchback,23.1,5,Automatic,2425,235
Maruti Suzuki,Swift,758000,4,6,37,Petrol,Hatchback,20.4,5,Manual,2450,268
Maruti Suzuki,Gypsy,637343,4,3,40,Petrol,SUV,11.9,8,Manual,2375,350
Maruti Suzuki,Ertiga,887689,4,6,45,CNG + Petrol,MUV,19.34,7,Manual,2740,350
Maruti Suzuki,Baleno Rs,788913,3,4,37,Petrol,Hatchback,21.4,5,Manual,2520,339
Maruti Suzuki,S-Cross,1143689,4,4,48,Diesel,Crossover,23.65,5,Manual,2600,375
Maruti Suzuki,Omni,284485,3,4,36,Petrol,MPV,16.8,8,Manual,1840,525
Maruti Suzuki,Baleno,829912,4,6,37,Petrol,Hatchback,21.04,5,Automatic,2520,339
Maruti Suzuki,Ciaz,1102689,4,4,43,Diesel,Sedan,28.09,5,Manual,2650,510
Maruti Suzuki,Alto 800 Tour,356559,3,4,35,Petrol,Hatchback,24.7,5,Manual,2360,177
Maruti Suzuki R,Wagon,507500,3,4,32,CNG,Hatchback,33.54,5,Manual,2480,341
Maserati,Ghibli,14247814,3,4,70,Diesel,SUV,11,5,Automatic,2998,500
Maserati,Levante,15383399,6,4,80,Diesel,SUV,7.9,4,Automatic,3004,580
Maserati,Quattroporte,17900000,6,6,70,Diesel,Sports,7.9,4,Automatic,3171,530
